question,document_id,answer_1,answer_2,answer_3
when does tom paris become a lieutenant again,Tom Paris,"The marooning of Voyager in the Delta Quadrant provided Paris with a new beginning . Janeway gave Paris a field commission as a Starfleet lieutenant and made him chief helmsman of Voyager . He had a rough start , however , as Starfleet and Maquis alike viewed Paris with suspicion . Paris worked hard to earn his crewmates ' respect . During this time , he became best friends with Ensign Harry Kim , a young officer on his first mission who defied his crewmates to befriend Paris . Eventually , Paris was accepted by the crew and became one of Janeway 's valued officers .",,
who sang the song i'm a nut,Roger Miller,"After numerous appearances on late night comedy shows , Miller decided that he might have a chance in Hollywood as an actor . Short of money , he signed with the up - and - coming label Smash Records , asked the label for $1,600 in cash in exchange for recording 16 sides . Smash agreed to the proposal , and Miller performed his first session for the company early in 1964 , when he recorded the hits `` Dang Me '' and `` Chug - a-Lug '' . Both were released as singles , peaking at No. 1 and No. 3 respectively on country charts ; both fared well on the Billboard Hot 100 reaching No. 7 and No. 9 . The songs transformed Miller 's career , although the former was penned by Miller in just four minutes . Later that year , he recorded the No. 15 hit `` Do - Wacka - Do , '' and soon after , the biggest hit of his career `` King of the Road '' , which topped Country and Adult Contemporary charts while peaking at No. 4 on the Billboard 100 . It also reached No. 1 in the UK Singles Chart for one we",,
who sings the song i don't care i love it,I Love It (Icona Pop song),"The song 's lyrics describe breaking up with an older boyfriend . In its chorus , Icona Pop and Charli XCX shout in unison `` I do n't care / I love it '' . Critics compared the song 's breakup narrative to Kelly Clarkson 's 2004 single `` Since U Been Gone '' , and journalist Chuck Eddy wrote in a piece for Spin that the track 's brattiness was similar to British band Shampoo .",,
what does the key to the city entitle you to,Freedom of the City,"In some countries , such as the United States , an ornamental key -- the `` key to the city '' -- is presented to esteemed visitors , residents , or others whom the city wishes to honour . This practice is a variation on the freedom of the city tradition , and has a similar symbolic meaning ; evoking medieval walled cities , the gates of which would be guarded during the day and locked at night , the key symbolises the freedom of the recipient to enter and leave the city at will , as a trusted friend of city residents .",,
when did fast and furious 5 come out,The Fast and the Furious,"The Fast and the Furious ( also known as Fast & Furious ) is an American franchise based on a series of action films that is largely concerned with illegal street racing , heists and espionage , and includes material in various other media that depicts characters and situations from the films . Distributed by Universal Pictures , the series was established with the 2001 film titled The Fast and the Furious ; this was followed by seven sequels , two short films that tie into the series , and as of May 2017 , it has become Universal 's biggest franchise of all time , currently the sixth - highest - grossing film series of all time with a combined gross of over $5 billion . The spin - off film is set to be released on July 26 , 2019 .",,
who are uncle owen and aunt beru related to,Skywalker family,"Star Wars : Episode II -- Attack of the Clones reveals that , in Anakin 's absence , Shmi has married Cliegg Lars , becoming the stepmother of Owen . Owen tells Anakin they are stepbrothers . Owen later marries Beru Whitesun . As a Jedi Knight , Anakin secretly marries Padmé Amidala .",,
when the clear air act was revised in 1990 it gave states,Clean Air Act (United States),1 State Programs 4 Interstate air pollution 5 Leak detection and repair 6 Application to greenhouse gas emissions 7 Clean Air Act and environmental justice 8 Clean Air Act violations 9 Effects 10 See also 11 References 12 Further reading 13 External links Summary ( edit ) Counties in the United States with one or more National Ambient Air Quality Standards not met as of June 2017 Title I : programs and activities ( edit ) Graph showing decreases in US air pollution concentrations during 1990 to 2015 Part a : Air quality and emissions limitations ( edit ) This section of the act declares that protecting and enhancing the nation 's air quality promotes public health,,
what is sauce for the goose is sauce for the gander examples,Wikipedia:Sauce for the goose is (not) sauce for the gander,Wikipedia : sauce for the goose is ( not ) sauce for the gander - Wikipedia Wikipedia : sauce for the goose is ( not ) sauce for the gander This page is an essay,,
where is zimbabwe located in the world map,Zimbabwe,"Zimbabwe ( / zɪmˈbɑːbweɪ / ) , officially the Republic of Zimbabwe , is a landlocked country located in southern Africa , between the Zambezi and Limpopo Rivers , bordered by South Africa , Botswana , Zambia and Mozambique . The capital and largest city is Harare . A country of roughly 16 million people , Zimbabwe has 16 official languages , with English , Shona , and Ndebele the most commonly used .",,
100 acres is equal to how many hectares,Hectare,"The hectare ( / ˈhɛktɛər , - tɑːr / ; SI symbol : ha ) is an SI accepted metric system unit of area equal to 100 ares ( 10,000 m ) or 1 square hectometre ( hm ) and primarily used in the measurement of land as a metric replacement for the imperial acre . An acre is about 0.405 hectare and one hectare contains about 2.47 acres .",,
who has won a calendar grand slam in tennis,Grand Slam (tennis),Player Grand Slams Singles Doubles Mixed Total Margaret Court Rod Laver Esther Vergeer ( wheelchair tennis ) Don Budge Ken McGregor Frank Sedgman Maureen Connolly Maria Bueno Ken Fletcher Owen Davidson Stefan Edberg ( junior tennis ) Martina Navratilova Pam Shriver Steffi Graf Martina Hingis Korie Homan ( wheelchair tennis ) Sharon Walraven ( wheelchair tennis ) Aniek van Koot ( wheelchair tennis ) Jiske Griffioen ( wheelchair tennis ) Stéphane Houdet ( wheelchair tennis ) Yui Kamiji ( wheelchair tennis ) Jordanne Whiley ( wheelchair tennis ),,
where was donovan mitchell picked in the draft,Donovan Mitchell,"Mitchell was drafted by the Denver Nuggets with the 13th overall pick in the 2017 NBA draft only to be traded to the Utah Jazz for the 24th pick ( Tyler Lydon ) and Trey Lyles . On July 5 , 2017 , Mitchell signed a four - year rookie scale contract with the Jazz . On July 11 , 2017 , Mitchell signed a multi-year shoe deal with Adidas . Later that day , Mitchell scored 37 points against the Memphis Grizzlies in the 2017 NBA Summer League in Las Vegas , the most by any player during the 2017 NBA Summer League . In his NBA debut on October 18 , 2017 , Mitchell registered 10 points and 4 assists against the Denver Nuggets . On December 1 , 2017 , he scored a career - high 41 points in a 114 -- 108 win over the New Orleans Pelicans . He set the Jazz scoring record for a rookie and became the first NBA rookie to score 40 points in a game since Blake Griffin in 2011 . He surpassed Darrell Griffith 's team - record 38 in 1981 . Mitchell also became the seventh rookie in franchise history to ha",,
list of food and beverage companies in the philippines,Category:Drink companies of the Philippines,"Category : drink companies of the Philippines - wikipedia Help Category : drink companies of the Philippines Jump to : navigation , search Wikimedia Commons has media related to Beverage companies of the Philippines",,
where does british airways fly to in south america,British Airways destinations,City Country IATA ICAO Airport Refs Aarhus Denmark AAR EKAH Aarhus Airport Aberdeen United Kingdom ABZ EGPD Aberdeen Airport Abidjan Côte d'Ivoire ABJ DIAP Port Bouet Airport Abu Dhabi United Arab Emirates AUH OMAA Abu Dhabi International Airport Abuja Nigeria ABV DNAA Nnamdi Azikiwe International Airport Accra Ghana ACC DGAA Kotoka International Airport Addis Ababa Ethiopia ADD HAAB Bole International Airport Adelaide Australia ADL YPAD Adelaide Airport Agadir Morocco AGA GMAD Al Massira Airport Alexandria Egypt ALY HEAX Alexandria International Airport Algiers Algeria ALG DAAG Houari Boumediene Airport Alicante Spain ALC LEAL Alicante Airport Almaty Kazakhstan ALA UAAA Almaty International Airport Amman Jordan AMM OJAI Queen Alia International Airport Amsterdam Netherlands AMS EHAM Amsterdam Airport Schiphol Ankara Turkey ESB LTAC Esenboğa International Airport Annecy France NCY LFLP Annecy -- Haute - Savoie -- Mont Blanc Airport Antigua Antigua and Barbuda ANU TAPA V.C. Bird Interna,,
what is the enthalpy of formation of cao(s),Standard enthalpy of formation,"Standard enthalpy of formation - wikipedia Standard enthalpy of formation Jump to : navigation , search The standard enthalpy of formation or standard heat of formation of a compound is the change of enthalpy during the formation of 1 mole of the substance from its constituent elements , with all substances in their standard states , and at a pressure of 1 bar ( 100 kPa )",,
where did the beatles final live performance take place,The Beatles' rooftop concert,"The Beatles ' rooftop concert was the final public performance of the English rock band the Beatles . On 30 January 1969 , the band , with keyboardist Billy Preston , surprised a central London office and fashion district with an impromptu concert from the roof of the headquarters of the band 's multimedia corporation Apple Corps at 3 Savile Row . In a 42 - minute set , the Beatles were heard playing nine takes of five songs before the Metropolitan Police Service asked them to reduce the volume . Footage from the performance was later used in the 1970 documentary film Let It Be .",,
who is the president of costa rica 2017,Luis Guillermo Solís,"Luis Guillermo Solís Rivera ( born 25 April 1958 ) is a Costa Rican politician who has been President of Costa Rica since 2014 . He is a member of the center - left Citizens ' Action Party ( PAC ) . Solís led the field in the 2014 presidential election , and he was effectively handed the presidency after the runner - up in the first round , San José mayor Johnny Araya Monge , ceased active campaigning . Solís has a long academic and political career , culminating in his election as the first President of Costa Rica to be a member of the PAC .",,
describe charlemagne in the epic the song of roland,The Song of Roland,"The Song of Roland ( French : La Chanson de Roland ) is an epic poem ( Chanson de geste ) based on the Battle of Roncevaux Pass in 778 , during the reign of Charlemagne",,
when did power rangers tv show come out,Power Rangers,"Power Rangers is an American entertainment and merchandising franchise built around a live action superhero television series . Produced first by Saban Entertainment , later by BVS Entertainment , and today by SCG Power Rangers , the television series takes much of its footage from the Japanese tokusatsu Super Sentai , produced by Toei Company . The first Power Rangers entry , Mighty Morphin Power Rangers , debuted on August 28 , 1993 , and helped launch the Fox Kids programming block of the 1990s , during which it catapulted into popular culture along with a line of action figures and other toys by Bandai . As of 2001 , the media franchise has generated over $6 billion in retail sales worldwide .",,
inheritance of the a b o blood groups is an example of,ABO blood group system,"Blood group inheritance Blood type O AB Genotype ii ( OO ) I i ( AO ) I I ( AA ) I i ( BO ) I I ( BB ) I I ( AB ) O ii ( OO ) O OO OO OO OO O or A AO OO AO OO AO AO AO AO O or B BO OO BO OO BO BO BO BO A or B AO BO AO BO I i ( AO ) O or A AO AO OO OO O or A AA AO AO OO AA AA AO AO O , A , B or AB AB AO BO OO B or AB AB AB BO BO A , B or AB AA AB AO BO I I ( AA ) AO AO AO AO AA AO AA AO AA AA AA AA A or AB AB AO AB AO AB AB AB AB AB A or AB AA AB AA AB I i ( BO ) O or B BO BO OO OO O , A , B or AB AB BO AO OO A or AB AB AB AO AO O or B BB BO BO OO BB BB BO BO A , B or AB AB BB AO BO I I ( BB ) BO BO BO BO B or AB AB BO AB BO AB AB AB AB AB BB BO BB BO BB BB BB BB B or AB AB BB AB BB AB I I ( AB ) A or B AO AO BO BO A , B or AB AA AO AB BO A or AB AA AA AB AB A , B or AB AB AO BB BO B or AB AB AB BB BB A , B , or AB AA AB AB BB",,
how many beverly hills cops movies are there,Beverly Hills Cop (film series),"Beverly Hills Cop is a series of American action comedy films and an unaired television pilot based on characters created by Daniel Petrie , Jr. and Danilo Bach . The films star Eddie Murphy as Axel Foley , a street - smart Detroit cop who travels to Beverly Hills , California to investigate crimes , even though it is out of his jurisdiction . There , he meets Detective Billy Rosewood ( Judge Reinhold ) , Sergeant John Taggart ( John Ashton ) , and Lieutenant Andrew Bogomil ( Ronny Cox ) . Ashton and Cox do not appear in Beverly Hills Cop III . Murphy , Reinhold , and Gil Hill , who plays Axel 's boss , Inspector Todd , are the only actors who appear in all three films . Harold Faltermeyer produced the now famous `` Axel F '' theme song heard throughout the series . The series as a whole have been distributed by Paramount Pictures . The films have made a total of $ 735,534,503 at the worldwide box office .",,
who holds the most women's wimbledon titles,List of Wimbledon ladies' singles champions,"Wimbledon Ladies ' Singles Champions Location London United Kingdom Venue AELTC Governing body AELTC / LTA Created 1884 ( established ) Open Era : 1968 ( 51 editions ) Surface Grass ( 1884 -- Present ) Prize money £ 2,000,000 ( 2016 ) Trophy Venus Rosewater Dish Website aeltc2010.wimbledon.org/en_GB/about/history/rolls/ladiesroll.html Most titles Amateur era 7 : Dorothea Lambert Chambers ( challenge round ) 8 : Helen Wills Moody ( regular ) Open era 9 : Martina Navratilova Most consecutive titles Amateur era 3 : Lottie Dod Suzanne Lenglen ( challenge round ) 4 : Helen Wills Moody ( regular ) Open era 6 : Martina Navratilova Current champion Angelique Kerber ( 1st singles title )",,
what does a dualist way of thinking mean,Dualism,"In traditions such as classical Hinduism , Zen Buddhism or Islamic Sufism , a key to enlightenment is `` transcending '' this sort of dualistic thinking , without merely substituting dualism with monism or pluralism",,
where does jinx you owe me a coke come from,Jinx (children's game),Jinx is a children 's game with varying rules and penalties that occur when two people unintentionally speak the same word or phrase simultaneously .,,
do yahoo email addresses end in com or net,Yahoo! Mail,"com Alexa rank 142,397 ( July 2017 ) Commercial Yes Registration Required Users 225 million active monthly users ( February 2017 ) Launched October 8 , 1997 ; 21 years ago ( 1997 - 10 - 08 ) Current status Online Content license Proprietary Yahoo ! Mail is an email service launched in 1997 through the American parent company Yahoo",,
who's making love to your old lady,Who's Making Love,"163 External links ( edit ) Lyrics of this song at MetroLyrics Preceded by `` Hey , Western Union Man '' by Jerry Butler Billboard Hot R&B Singles number - one single November 23 , 1968 -- December 7 , 1968 ( three weeks ) Succeeded by `` I Heard It Through the Grapevine '' by Marvin Gaye ( hide ) Johnnie Taylor Songs `` Who 's Making Love '' `` Take Care of Your Homework '' `` Jody 's Got Your Girl and Gone '' `` I Believe in You ( You Believe in Me ) '' `` Disco Lady '' Retrieved from `` https://en",,
athletes who have won dancing with the stars,List of Dancing with the Stars (U.S.) competitors,"Celebrities appearing on Dancing with the Stars include `` actors , singers , comedians , musicians , entrepreneurs , athletes , reality stars , journalists , internet personalities , newsmakers , and where - are - they - now personalities ''",,
equation for the velocity of an object in motion at constant acceleration,Equations of motion,"In circumstances of constant acceleration , these simpler equations of motion are usually referred to as the SUVAT equations , arising from the definitions of kinematic quantities : displacement ( s ) , initial velocity ( u ) , final velocity ( v ) , acceleration ( a ) , and time ( t )",,
where does the last name hickey come from,Hickey (surname),"Hickey is a common surname of Irish origin . The original form is Ó hÍceadha , which is still used in Ireland . Notable people with the surname include :",,
when does maggie come on grey's anatomy,Maggie Pierce,"When Maggie identifies Meredith Grey , her half - sister , she attempts to bond with her . However , Meredith attempts to take charge and conflicts with her on a case . After several arguments , Maggie tells Meredith that she is her half - sister . Meredith , in disbelief , points out that she would know that her mother would be pregnant when she was five years old , as Maggie is five years younger than her . Meredith works with Alex Karev ( Justin Chambers ) to decide whether Maggie is lying or if she is wrong . They discover she is correct . Meredith gets flashes back to the time of her mother 's crisis at five years old , and remembers being at a hospital and hearing a screaming baby . After several weeks , Webber admits to Maggie that he is her father . Maggie is angry at him . Later , when he comes to apologize for not being there as a father , Maggie corrects him and says he is not her father , as she has adoptive parents she loves , and that she is only angry because of his dish",,
the rembrandts i'll be there for you album,I'll Be There for You (The Rembrandts song),"( September 2015 ) ( Learn how and when to remove this template message ) `` I 'll Be There for You '' Single by The Rembrandts from the album LP Released May 1 , 1995 Format 7 `` , CD single Recorded Genre Power pop , pop rock , alternative rock , jangle pop Length 3 : 09 Label East West , Atlantic Songwriter ( s ) David Crane , Marta Kauffman , Michael Skloff , Allee Willis , Phil Sōlem , Danny Wilde Producer ( s ) Kevin Bright , David Crane , Marta Kauffman The Rembrandts singles chronology `` Waiting to Be Opened '' ( 1993 ) `` I 'll Be There for You '' ( 1995 ) `` This House Is Not a Home '' ( 1995 ) `` Waiting to Be Opened '' ( 1993 ) `` I 'll Be There for You '' ( 1995 ) `` This House Is Not a Home '' ( 1995 ) `` I 'll Be There for You '' is a song recorded by the American duo The Rembrandts",,
where do lie bumps come from on your tongue,Transient lingual papillitis,"The name `` lie bumps '' is a result of a myth that telling lies would cause them . However , very little has been written about this condition in scientific articles or textbooks and scientific studies have failed to produce a definite cause . Possible causes include : `` stress , gastrointestinal upset , menstruation , acidic or sour food , smoking , and local trauma '' ( direct physical irritation ) of the tongue . Lie bumps are often caused by the taste bud ( s ) splitting .",,
where is the greatest royal rumble taking place,WWE Greatest Royal Rumble,"Greatest Royal Rumble was a professional wrestling pay - per - view event and WWE Network event promoted by WWE for their Raw and SmackDown brands . The event was held on April 27 , 2018 at the King Abdullah Sports City 's King Abdullah International Stadium in Jeddah , Saudi Arabia . The event was scheduled for 7 : 00 p.m. local time . It aired live in the United States at noon EDT , with a pre-show starting at 11 a.m. EDT . At the event , all men 's main roster championships were defended , in addition to a 50 - man Royal Rumble match .",,
who sang my name is tallulah in bugsy malone,Bugsy Malone,`` Bugsy Malone '' -- Paul Williams `` Fat Sam 's Grand Slam '' -- Paul Williams `` Tomorrow '' `` Bad Guys '' `` I 'm Feeling Fine '' `` My Name Is Tallulah '' - Louise `` Liberty '' Williams `` So You Wanna Be a Boxer ? '' `` Ordinary Fool '' `` Down and Out '' `` You Give a Little Love '' -- Paul Williams,,
a property tax bill is an example of,Property tax,"For example , a property with an assessed value of $50,000 located in a municipality with a mill rate of 20 mills would have a property tax bill of $1,000 per year",,
when did the volcano erupt in indonesia 2018,2017–2018 eruptions of Mount Agung,"( April 2018 ) 2017 -- 2018 eruptions of Mount Agung Mount Agung on 27 November Volcano Mount Agung Date 21 November 2017 ( 2017 - 11 - 21 ) -- ongoing ( 11 months and 2 days ) Type Vulcanian / Sub-plinian Location Bali , Indonesia 8 ° 20 ′ 35 '' S 115 ° 30 ′ 25 '' E ﻿ / ﻿ 8",,
income elasticity of demand for normal good is always,Income elasticity of demand,A positive income elasticity of demand is associated with normal goods ; an increase in income will lead to a rise in demand,,
what is andy's sisters name in toy story,List of Toy Story characters,"In Toy Story 3 , a Barbie appears to be one of the toys that Andy 's sister , Molly , owns . In Sunnyside , she falls in love with Ken , but after Lotso 's minions reset Buzz 's personality , and reveal that they want to sacrifice Andy 's old toys in order to protect themselves , she ingratiates herself with Ken in order to obtain the Buzz Lightyear manual that lets her friends reset Buzz to his original form . When she stands up to Lotso by saying that being treated fairly is better than living under his rule , Ken switches his allegiance to her and her friends . In the end credits of the film , they get back together and change Sunnyside , becoming its co-leaders , after Lotso is defeated .",,
who sings with shaggy on it wasn me,It Wasn't Me,`` It Was n't Me '' is the first single from Jamaican - American reggae artist Shaggy 's multi-Platinum studio album Hot Shot ( 2000 ) . The song features vocals from English - Jamaican singer Rikrok .,,
when was the cat of nine tails last used,Cat o' nine tails,"Prison usage ( edit ) The cat - o ' - nine - tails was also used on adult convicts in prisons ; a 1951 memorandum ( possibly confirming earlier practice ) ordered all UK male prisons to use only cat o ' nine tails ( and birches ) from a national stock at Wandsworth prison , where they were to be ' thoroughly ' tested before being supplied in triplicate to a prison whenever a flogging was pending for use as prison discipline",,
what is the largest catholic high school in america,St. Francis Preparatory School,"St. Francis Preparatory School , commonly known as St. Francis Prep , is a private , independent Catholic college preparatory school in the Fresh Meadows neighborhood of the New York City Borough of Queens , in the State of New York . It is the largest non-diocesan Catholic high school in the United States . St. Francis is run by the Franciscan Brothers of Brooklyn , who maintain a residence on the top floor of the school . The school has a student body of about 2,750 students and graduates between 600 and 700 students annually .",,
who established the peoples republic of china in 1949,History of the People's Republic of China,"The history of the People 's Republic of China details the history of mainland China since October 1 , 1949 , when , after a near complete victory by the Chinese Communist Party ( CCP ) in the Chinese Civil War , Mao Zedong proclaimed the People 's Republic of China ( PRC ) from atop Tiananmen . The PRC has for several decades been synonymous with China , but it is only the most recent political entity to govern mainland China , preceded by the Republic of China ( ROC ) and thousands of years of imperial dynasties .",,
where do clouds form when there is a cold front,Cold front,"Weather phenomenon Prior to the passing of the front While the front is passing After the passing of the front Temperature Warm Cooling suddenly Steadily cooling Atmospheric pressure Decreasing steadily Lowest , then sudden increase Increasing steadily Winds Southwest to southeast ( northern hemisphere ) Northwest to northeast ( southern hemisphere ) Gusty ; shifting North to west , usually northwest ( northern hemisphere ) South to west , usually southwest ( southern hemisphere ) Precipitation / conditions * Light patchy rain can be produced by stratocumulus or stratus in the warm sector . In summer , sometimes thunderstorms if a preceding squall line is present . Prolonged rain ( nimbostratus ) or thunderstorms ( cumulonimbus ) : depends on conditions . Showers , then clearing Clouds * Often preceded by cirrus , cirrostratus then altostratus like a warm front ( but usually with smaller amounts of these clouds ) . Areas of cirrocumulus and altocumulus within cirrostratus and altostrat",,
who sang take that look off your face,Take That Look Off Your Face,"`` Take That Look Off Your Face '' is the title of a hit song by musical theatre composer Andrew Lloyd Webber . Collaborating with lyricist Don Black , it was written for the song cycle show Tell Me on a Sunday in 1978 . It was sung and released by Marti Webb in 1980 , and became a No. 3 hit in the UK charts . The song was also popular in Ireland , and spent six weeks at number one . Later , Tell Me on a Sunday was combined with another Lloyd Webber work , Variations , to form an entire new show , Song and Dance .",,
who plays percy in the lost city of z,Percy Fawcett,"David Grann 's The Lost City of Z was optioned by Brad Pitt 's Plan B production company and Paramount Pictures . James Gray directed the film , which stars Charlie Hunnam as Fawcett and was released in April 2017 .",,
where did meredith grey go instead of dc,Meredith Grey,"Meredith Grey - wikipedia Meredith Grey Jump to : navigation , search Meredith Grey Grey 's Anatomy character Ellen Pompeo as Dr",,
is stone cold steve austin in the longest yard,The Longest Yard (2005 film),James Cromwell as Warden Rudolph Hazen William Fichtner as Captain Wilhem Knauer Kevin Nash as Sergeant Engleheart Steve Austin as Guard Dunham Brian Bosworth as Guard Garner Michael Papajohn as Guard Papajohn Conrad Goode as Guard Webster Bill Romanowski as Guard Lambert Cloris Leachman as Lynette Grey,,
who plays the first lady on house of cards,Joanna Going,"In 2014 , Going starred as First Lady Tricia Walker in the second season of Netflix political series House of Cards",,
can't take my eyes off you lyrics meaning,Can't Take My Eyes Off You,"Ca n't Take My Eyes Off You - wikipedia Ca n't Take My Eyes Off You Jump to : navigation , search `` I Love You Baby '' redirects here",,
what are the parts of the finger called,Finger,"Although a common phenomenon , the underlying functions and mechanism of fingertip wrinkling following immersion in water are relatively unexplored . Originally it was assumed that the wrinkles were simply the result of the skin swelling in water , but it is now understood that the furrows are caused by the blood vessels constricting due to signalling by the sympathetic nervous system in response to water exposure . One hypothesis for why this occurs , the `` rain tread '' hypothesis , posits that the wrinkles may help the fingers grip things when wet , possibly being an adaption from a time when humans dealt with rain and dew in forested primate habitats . A 2013 study supporting this hypothesis found that the wrinkled fingertips provided better handling of wet objects but gave no advantage for handling dry objects . However , a 2014 study attempting to reproduce these results was unable to demonstrate any improvement of handling wet objects with wrinkled fingertips .",,
